abactor ɐbɐktoɾ
amoralista ɐmuɾɐliʃtɐ
americanofobia ɐmɨɾikɐnufubiɐ
amensalismo ɐmẽsɐliʒmu
ambufilina ɐ̃bufilinɐ
amelotina ɐmɨlutinɐ
amontoamento ɐmõtwɐmẽtu
aminopirimidina ɐminupiɾimidinɐ
amprólio ɐ̃pɾɔlju
amoxapina ɐmukʃpinɐ
americanística ɐmɨɾikɐniʃtikɐ
aminobifenil ɐminubifɨnil
amorfossíntese ɐmuɾfusĩtɨzɨ
amniócito ɐmnjɔsitu
ampicilina ɐ̃pisilinɐ
intervencionismo ĩtɨɾvẽsjuniʒmu
amsacrina ɐ̃sɐkɾinɐ
anaciclose ɐnɐsiklɔzɨ
amperometria ɐ̃pɨɾɔmɨtɾiɐ
anagénese ɐnɐʒɛnɨzɨ
anabolizante ɐnɐbulizɐ̃tɨ
anaerobicida ɐnɐɛɾɔbisidɐ
anabólico ɐnɐbɔliku
anarca ɐnaɾkɐ
anambé ɐnɐ̃bɛ
anambé ɐnɐ̃bɛ
anagramatismo ɐnɐɡɾɐmɐtiʒmu
anastrozol ɐnɐʃtɾuzɔl
anaplerose ɐnɐplɨɾɔzɨ
anagramatista ɐnɐɡɾɐmɐtiʃtɐ
analéptico ɐnɐlɛptiku
anastilose ɐnɐʃtilɔzɨ
anaplasmose ɐnɐplɐʒmɔzɨ
anatomismo ɐnɐtumiʒmu
anatomização ɐnɐtumizɐsɐ̃w̃
anatoxina ɐnɐtuksinɐ
toxoide tɔksɔjdɨ
anatólio ɐnɐtɔlju
anatólico ɐnɐtɔliku
ancilostoma ɐ̃siluʃtomɐ
ancestralidade ɐ̃sɨʃtɾɐlidadɨ
anatematização ɐnɐtɨmɐtizɐsɐ̃w̃
anartria ɐnɐɾtɾiɐ
anatematizador ɐnɐtɨmɐtizɐdoɾ
anadiplose ɐnɐdiplɔzɨ
anafilatoxina ɐnɐfilɐtuksinɐ
analisabilidade ɐnɐlizɐbilidadɨ
anatoliano ɐnɐtuljɐnu
anacusia ɐnɐkuziɐ
andossolo ɐ̃dusɔlu
andesito ɐ̃dɨzitu
andróforo ɐ̃dɾɔfuɾu
andaluzita ɐ̃dɐluzitɐ
anatídeo ɐnɐtidju
androgenia ɐ̃dɾuʒɨniɐ
andradita ɐ̃dɾɐditɐ
anamorfose ɐnɐmuɾfɔzɨ
androstenona ɐ̃dɾuʃtɨnonɐ
androlatria ɐ̃dɾulɐtɾiɐ
anfípode ɐ̃fipudɨ
anfenicol ɐ̃fɨnikɔl
andrófoba ɐ̃dɾɔfubɐ
androsterona ɐ̃dɾuʃtɨɾonɐ
basílico bɐziliku
anfetaminismo ɐ̃fɨtɐminiʒmu
androfilia ɐ̃dɾufiliɐ
anfimixia ɐ̃fimiksiɐ
batuiruçu bɐtujɾusu
anáfase ɐnafɐzɨ
hidratante idɾɐtɐ̃tɨ
androstadieno ɐ̃dɾuʃtɐdjenu
araticum ɐɾɐtikũ
anatexia ɐnɐtɨksiɐ
avoenga ɐvwẽɡɐ
androstenediona ɐ̃dɾuʃtɨnɨdjonɐ
anfidiploide ˌɐ̃fidiplɔjdɨ
anaerobiose ɐnɐˌɛɾɔbiɔzɨ
biorrisco ˌbiɔʁiʃku
androstadienona ɐ̃dɾuʃtɐdjɛnonɐ
anfioxo ɐ̃fjoksu
anádromo ɐnadɾumu
astronauta ɐ̃tiɡu ɐʃtɾɔnawtɐ
brejo ɐɾɐtiˌkũdubɾɛʒu
antimalárico ˌɐ̃timɐlaɾiku
ancoragem ɐ̃kuɾaʒɐ̃j̃
andromedotoxina ɐ̃dɾumɨdutuksinɐ
burrego buʁeɡu
cincerro sĩseʁu
anfiartrose ɐ̃fjɐɾtɾɔzɨ
burrinho buʁiɲu
alfa kɐɾbɔnu alfɐ
antipalúdico ˌɐ̃tipɐludiku
Alphonso mɐ̃ɡɐ alfõsu
charola ʃɐɾɔlɐ
recursividade ʁɨkuɾsividadɨ
americano kɐjʒu ɐmɨɾikɐnu
alveolar pɾusɛsu alvjulaɾ
esmolaria (i)ʒmulɐɾiɐ
austrofascismo ˌawʃtɾɔfaʃsiʒmu
montês mõteʃ
montanhês mõtɐɲeʃ
tunicado tunikadu
córion kɔɾjɔn
translocação tɾɐ̃ʒlukɐsɐ̃w̃
matirão mɐtiɾɐ̃w̃
colusão kuluzɐ̃w̃
férrea ˌɛɾvɐfɛʁjɐ
ulemá ulɨma
montesino mõtɨzinu
maquete makɛtɨ
liquidâmbar likidɐ̃baɾ
sandilho sɐ̃diʎu
neurolinguística newɾulĩɡiʃtikɐ
olhete ɔʎetɨ
projetos ʒɨɾẽsjɐ dɨ pɾuʒɛtuʃ
Madeira viɲu dɐ mɐdɐjɾɐ
escuro ˌklaɾu(i)ʃkuɾu
radioamador ˌʁadjɔɐmɐdoɾ
letrinhas sopɐ dɨ lɨtɾiɲɐʃ
régia vitɔɾjɐ ʁɛʒjɐ
desambição dɨzɐ̃bisɐ̃w̃
alternativa iˌpɔtɨz‿altɨɾnɐtivɐ
fundeadouro fũdjɐdo(w)ɾu
americano ˌljɐ̃w̃ɐmɨɾikɐnu
verdelha vɨɾdɐ(j)ʎɐ
radioamadorismo ˌʁadjɔɐmɐduɾiʒmu
alveolar osu alvjulaɾ
apuros dõzɛlɐ ɐ̃j̃ ɐpuɾuʃ
emendador imẽdɐdoɾ
escrutinador (i)ʃkɾutinɐdoɾ
sextavado pɐɾɐfuzu sɐjʃtɐvadu
xuá ʃwa
romeira ʁumɐjɾɐ
tonsilectomia tõsilɛktumiɐ
secretismo sɨkɾɨtiʒmu
tensoativo tẽswɐtivu
dióptrica djɔptɾikɐ
regular (i)ʃpɾɨsɐ̃w̃ ʁɨɡulaɾ
amarela (i)ʃkɾɨvɨˌdɐjɾɐɐmɐɾɛlɐ
fominha fɔmiɲɐ
fominha fɔmiɲɐ
sopapo supapu
dentífrico dẽtifɾiku
vigorexia viɡɔɾɛksiɐ
secretariado sɨkɾɨtɐɾjadu
galeota ɡɐljɔtɐ
esmoler (i)ʒmuleɾ
constitucionalista kõʃtitusjunɐliʃtɐ
oligarcas ɔliɡaɾkɐʃ
punhão puɲɐ̃w̃
seca ˌɐmɐsekɐ
subtexto ˌsubtɐjʃtu
miliciano mɨlisjɐnu
recusação ʁɨkuzɐsɐ̃w̃
bá ˌbeˌaba
talhadia tɐʎɐdiɐ
trezentos lɔʒɐ duʃ tɾɨzẽtuʃ
bagaça bɐɡasɐ
bagulho bɐɡuʎu
agorismo ɐɡuɾiʒmu
clarinetista klɐɾinɨtiʃtɐ
anarcocapitalista ɐˌnaɾkɔkɐpitɐliʃtɐ
agorista ɐɡuɾiʃtɐ
sadomasoquista sɐdumɐzukiʃtɐ
distintivos dɨʃtĩtivuʃ
coreógrafa kuɾjɔɡɾɐfɐ
cornaca kuɾnakɐ
bienal bjɛnal
desenvoltura dɨzẽvoltuɾɐ
tripeiro tɾipɐjɾu
cupuaçu kupuasu
cupuaçuzeiro kupwɐˌsuzɐjɾu
pãozão ˌpɐ̃w̃zɐ̃w̃
hagiógrafo ɐʒjɔɡɾɐfu
antropologista ɐ̃tɾupuluʒiʃtɐ
desplante dɨʃplɐ̃tɨ
heterótrofo ɛtɨɾɔtɾufu
dímero dimɨɾu
rizosfera ʁizɔʃfɛɾɐ
esferográfica (i)ʃˌfɛɾɔɡɾafikɐ
brigadeiro bɾiɡɐdɐjɾu
brigadeiro bɾiɡɐdɐjɾu
cidadão kɐɾtɐ̃w̃ dɨ sidɐdɐ̃w̃
vinhão viɲɐ̃w̃
tabuada tɐbwadɐ
fonógrafo funɔɡɾɐfu
maria ˌavɨmɐɾiɐ
baixista bajʃiʃtɐ
baixista bajʃiʃtɐ
oqueá ɔkja
contrarreforma ˌkõtɾɐʁɨfɔɾmɐ
chachachá ˌʃaˌʃaʃa
autonomistas awtunumiʃtɐʃ
apelativo ɐpɨlɐtivu
cultismo kultiʒmu
pardau pɐɾdaw
orientador ɔɾjẽtɐdoɾ
rúbrica ʁubɾikɐ
comparador kõpɐɾɐdoɾ
plantel plɐ̃tɛl
piração piɾɐsɐ̃w̃
fidedignidades fidɨdiɡnidadɨʃ
olhadura ɔʎɐduɾɐ
lavagante lɐvɐɡɐ̃tɨ
marisqueira mɐɾiʃkɐjɾɐ
caranguejola kɐɾɐ̃ɡɨʒɔlɐ
navalheira nɐvɐʎɐjɾɐ
professoras pɾufɨsoɾɐʃ
anciãos ɐ̃sjɐ̃w̃ʃ
doleiro dɔlɐjɾu
tertúlia tɨɾtuljɐ
faxineiro fɐʃinɐjɾu
vergamota vɛɾɡɐmɔtɐ
peixota pɐjʃɔtɐ
pacificador pɐsifikɐdoɾ
frentista fɾẽtiʃtɐ
poncã põkɐ̃
alfarrabista alfɐʁɐbiʃtɐ
alfarrabista alfɐʁɐbiʃtɐ
macas makɐʃ
nutricionista nutɾisjuniʃtɐ
brasileirismo bɾɐzilɐjɾiʒmu
alanite ɐlɐnitɨ
algumim alɡumĩ
araticu ɐɾɐtiku
baxâ bɐʃɐ
anatexe ɐnɐtɛksɨ
analcita ɐnalsitɐ
almandita almɐ̃ditɐ
allanita ɐlɐnitɐ
alopécia ɐlupɛsjɐ
amrinona ɐ̃ʁinonɐ
amauaca ɐmawakɐ
aloenzima ɐlwẽzimɐ
amblipígeo ɐ̃blipiʒju
amonuria ɐmunuɾiɐ
anátase ɐnatɐzɨ
alúmina ɐluminɐ
amelogênese ɐmɨluʒenɨzɨ
amissulprida ɐmisulpɾidɐ
algebróide alʒɨbɾɔjdɨ
algicultura alʒikultuɾɐ
alopoliplóide ɐlupuliplɔjdɨ
agoada ɐɡwadɐ
alantóide ɐlɐ̃tɔjdɨ
cório kɔɾju
hora ɐ̃ˌpɛɾ‿ɔɾɐ
amidoidrolase ɐmidojdɾulazɨ
anestético ɐnɨʃtɛtiku
arreceio ɐʁɨsɐju
espira ɐ̃ˌpɛɾɨ(i)ʃpiɾɐ
ifante ifɐ̃tɨ
alisfenóide ɐliʃfɨnɔjdɨ
amontilhado ɐmõtiʎadu
ambrotipo ɐ̃bɾutipu
aminoesteróide ɐminwɨʃtɨɾɔjdɨ
anatéxis ɐnɐtɛksiʃ
aminoglicosídio ɐminuɡlikuzidju
americofilia ɐmɨɾikufiliɐ
menhã mɨɲɐ̃
quermes kɛɾmɨʃ
sanfonha sɐ̃foɲɐ
onividência ɔnividẽsjɐ
tchão t͡ʃɐ̃w̃
agressão pɾĩsipju dɐ nɐ̃w̃ ɐɡɾɨsɐ̃w̃
sique sikɨ
tensioativo tẽsjuɐtivu
segũdo sɨɡũdu
roqueira ʁukɐjɾɐ
aforia ɐfuɾiɐ
afânise ɐfɐnizɨ
Antiterra ˌɐ̃titɛʁɐ
aficida ɐfisidɐ
afelinídeo ɐfɨlinidju
afaquia ɐfɐkiɐ
afidicolina ɐfidikulinɐ
afélia ɐfɛljɐ
afidídeo ɐfididju
afelandra ɐfɨlɐ̃dɾɐ
afasiólogo ɐfɐzjɔluɡu
abrunheiro ɐbɾuɲɐjɾu
amortecimento ɐmuɾtɨsimẽtu
afasiologista ɐfɐzjuluʒiʃtɐ
afasiologia ɐfɐzjuluʒiɐ
afásico ɐfaziku
bandeira ɐkɐˌɾabɐ̃dɐjɾɐ
acetanilida ɐsɨtɐnilidɐ
acetilcolinesterase ɐsɨtilkulinɨʃtɨɾazɨ
andarilhagem ɐ̃dɐɾiʎaʒɐ̃j̃
angeleno ɐ̃ʒɨlenu
anedotista ɐnɨdutiʃtɐ
carará kɐɾɐɾa
anemógrafo ɐnɨmɔɡɾɐfu
anelação ɐnɨlɐsɐ̃w̃
anexina ɐnɨksinɐ
anemonina ɐnɨmuninɐ
anhuma ɐɲumɐ
anglicista ɐ̃ɡlisiʃtɐ
angolanidade ɐ̃ɡulɐnidadɨ
anteato ɐ̃tjatu
anexador ɐnɨksɐdoɾ
biguatinga biɡwɐtĩɡɐ
anguípede ɐ̃ɡipɨdɨ
angularidade ɐ̃ɡulɐɾidadɨ
angioscópio ɐ̃ʒjuʃkɔpju
angioscopia ɐ̃ʒjuʃkupiɐ
angiomatose ɐ̃ʒjumɐtozu
angelólogo ɐ̃ʒɨlɔluɡu
angiomixoma ɐ̃ʒjumiksomɐ
anodinia ɐnudiniɐ
anoderma ɐnudɛɾmɐ
angioceratoma ɐ̃ʒjusɨɾɐtomɐ
anexionismo ɐnɨksjuniʒmu
anocracia ɐnukɾɐsiɐ
angiossarcoma ɐ̃ʒjusɐɾkomɐ
animalculista ɐnimalkuliʃtɐ
angiomiolipoma ɐ̃ʒjumjulipomɐ
anodização ɐnudizɐsɐ̃w̃
anisocromia ɐnizukɾumiɐ
anglomaníaco ɐ̃ɡlɔmɐniɐku
anodonte ɐnudõtɨ
anorquia ɐnuɾkiɐ
anexionista ɐnɨksjuniʃtɐ
anisofilia ɐnizufiliɐ
anosidade ɐnuzidadɨ
anisocitose ɐnizusitɔzɨ
ankerita ɐ̃kɨɾitɐ
animalização ɐnimɐlizɐsɐ̃w̃
antenação ɐ̃tɨnɐsɐ̃w̃
angioleiomioma ɐ̃ʒjulɐjumjomɐ
anemograma ɐnɨmuɡɾɐmɐ
angioendoteliomatose ɐ̃ʒjuẽdutɨljumɐtɔzɨ
antecoro ɐ̃tɨkoɾu
antecos ɐ̃tɛkuʃ
angular ɐsɨlɨɾɐsɐ̃w̃ ɐ̃ɡulaɾ
antese ɐ̃tezɨ
antantreno ɐ̃tɐ̃tɾenu
anorexiante ɐnuɾɨksjɐ̃tɨ
anisindiona ɐnizĩdjonɐ
angiocardiografia ɐ̃ʒjukɐɾdjuɡɾɐfiɐ
anoftalmia ɐnuftalmiɐ
antepasto ɐ̃tɨpaʃtu
antanáclase ɐ̃tɐnaklɐzɨ
anteporta ɐ̃tɨpɔɾtɐ
angioarquitetura ˌɐ̃ʒjɔɐɾkitɛtuɾɐ
anterídio ɐ̃tɨɾidju
anidrita ɐnidɾitɐ
anteposição ɐ̃tɨpuzisɐ̃w̃
anguídeo ɐ̃ɡidju
anomaloscópio ɐnumɐluʃkɔpju
anteflexão ɐ̃tɨflɛksɐ̃w̃
aniquilacionista ɐnikilɐsjuniʃtɐ
anonimizador ɐnunimizɐdoɾ
anterozoide ɐ̃tɨɾɔzɔjdɨ
aniquilador ɐnikilɐdoɾ
anita ɐnitɐ
heroína ˌɐ̃tieɾwinɐ
anisete ɐnizetɨ
antefixa ɐ̃tɨfiksɐ
afidiídeo ɐfidjidju
heroísmo ˌɐ̃tieɾwiʒmu
hélio ɐ̃tiɛlju
anileira ɐnilɐjɾɐ
humanismo ɐ̃ˌtiumɐniʒmu
antecipador ɐ̃tɨsipɐdoɾ
antiangiogénese ˌɐ̃tiɐ̃ʒjuʒɛnɨzɨ
hormona ˌɐ̃tiɔɾmonɐ
hegemonismo ˌɐ̃tiɐ(j)ʒɨmuniʒmu
angioneurose ɐ̃ʒjunewɾɔzɨ
anidrobiose ɐˌnidɾɔbiɔzɨ
hedonista ˌɐ̃tieduniʃtɐ
antiagrupamento ˌɐ̃tiɐɡɾupɐmẽtu
imperialista ɐ̃ˌtiĩpɨɾjɐliʃtɐ
anopluro ɐnupluɾu
histérico ɐ̃ˌtiiʃtɛɾiku
antialergénico ˌɐ̃tiɐlɨɾʒɛniku
antianticorpo ˌɐ̃tiˌɐ̃tikoɾpu
imperialismo ɐ̃ˌtiĩpɨɾjɐliʒmu
hegeliano ˌɐ̃tieɡɨljɐnu
anoxibiose ɐˌnɔksibiɔzɨ
anteraxantina ɐ̃tɨɾɐksɐ̃tinɐ
antiabolicionismo ˌɐ̃tiɐbulisjuniʒmu
antianafilaxia ˌɐ̃tiɐnɐfilaksiɐ
indiano ˌɐ̃ɡlɔĩdjɐnu
aniquilacionismo ɐnikilɐsjuniʒmu
hedonismo ˌɐ̃tieduniʒmu
anquilossauro ɐ̃kilɔsawɾu
antiafrodisíaco ˌɐ̃tiɐfɾɔdiziɐku
animalidade ɐnimɐlidadɨ
herpético ˌɐ̃tiɛɾpɛtiku
saxonismo ˌɐ̃ɡlɔsaksuniʒmu
anencefalia ɐnẽsɨfɐliɐ
anticodão ˌɐ̃tikɔdɐ̃w̃
hipertensivo ɐ̃ˌtiipɨɾtẽsivu
antiarina ɐ̃tjɐɾinɐ
histamínico ɐ̃ˌtiiʃtɐminiku
hélice ˌɐ̃tiɛlisɨ
antiaglomerante ˌɐ̃tiɐɡlumɨɾɐ̃tɨ
antiauxina ˌɐ̃tiawksinɐ
antibispo ˌɐ̃tibiʃpu
antibiótipo ˌɐ̃tibiɔtipu
anteversão ɐ̃tɨvɨɾsɐ̃w̃
antiarabista ˌɐ̃tiɐɾɐbiʃtɐ
anticaos ˌɐ̃tikawʃ
anticentro ˌɐ̃tisẽtɾu
antiandrógeno ˌɐ̃tiɐ̃dɾɔʒɨnu
antibolchevismo ˌɐ̃tibolʃɨviʒmu
antiblindagem ˌɐ̃tiblĩdaʒɐ̃j̃
anticharme ˌɐ̃tiʃaɾmɨ
antiaristocrata ˌɐ̃tiɐɾiʃtukɾatɐ
antialcoolismo ˌɐ̃tialkwuliʒmu
anticlassismo ˌɐ̃tiklɐsiʒmu
antibiograma ˌɐ̃tiˌbiɔɡɾɐmɐ
antiblenorrágico ˌɐ̃tiblɛnuɾaʒiku
anticeticismo ˌɐ̃tisɛtisiʒmu
antibolchevista ˌɐ̃tibolʃɨviʃtɐ
antiabolicionista ˌɐ̃tiɐbulisjuniʃtɐ
anticoagulação ˌɐ̃tikwɐɡulɐsɐ̃w̃
anticloro ˌɐ̃tiklɔɾu
helmíntico ˌɐ̃tiɛlmĩtiku
eslavónico (i)ʒlɐvɔniku
anticoletivismo ˌɐ̃tikulɛtiviʒmu
homossexualismo ˌɐ̃tiˌɔmɔsɛkswɐliʒmu
anticiência ˌɐ̃tisjẽsjɐ
eslavônico (i)ʒlɐvoniku
antiarte ˌɐ̃tiaɾtɨ
anticapitalismo ˌɐ̃tikɐpitɐliʒmu
antiprurítico ˌɐ̃tipɾuɾitiku
anticoccídico ˌɐ̃tikɔksidiku
anticrese ɐ̃tikɾɛzɨ
anticatexia ɐ̃tikɐtɨksiɐ
anticarcinógeno ˌɐ̃tikɐɾsinɔʒɨnu
anticoincidência ˌɐ̃tikwĩsidẽsjɐ
anticomutação ˌɐ̃tikumutɐsɐ̃w̃
antiarabismo ˌɐ̃tiɐɾɐbiʒmu
anticídeo ɐ̃tisidju
anticomunidade ˌɐ̃tikumunidadɨ
humanista ɐ̃ˌtiumɐniʃtɐ
anticátodo ˌɐ̃tikatudu
anticonhecimento ˌɐ̃tikuɲɨsimẽtu
anticoccidiano ˌɐ̃tikɔksidjɐnu
antiarrítmico ˌɐ̃tiɐʁitmiku
anticruzamento ˌɐ̃tikɾuzɐmẽtu
anticlericalista ˌɐ̃tiklɛɾikɐliʃtɐ
antibiose ˌɐ̃tibiɔzɨ
anticultura ˌɐ̃tikultuɾɐ
anticomutador ˌɐ̃tikumutɐdoɾ
antiautomorfismo ˌɐ̃tiˌawtɔmuɾfiʒmu
anticoletivista ˌɐ̃tikulɛtiviʃtɐ
antideus ˌɐ̃tidewʃ
anticorrelação ˌɐ̃tikuʁɨlɐsɐ̃w̃
anticristão ˌɐ̃tikɾiʃtɐ̃w̃
anticatalisador ˌɐ̃tikɐtɐlizɐdoɾ
anticriticismo ˌɐ̃tikɾitisiʒmu
antiburocrata ˌɐ̃tibuɾukɾatɐ
hemorrágico ˌɐ̃tiɛmuʁaʒiku
anticontagionista ˌɐ̃tikõtɐʒjuniʃtɐ
anticlinório ˌɐ̃tiklinɔɾju
anticolinérgico ˌɐ̃tikulinɛɾʒiku
antidisciplina ˌɐ̃tidiʃsiplinɐ
antideutério ˌɐ̃tidewtɛɾju
antiduna ˌɐ̃tidunɐ
anticidadania ˌɐ̃tisidɐdɐniɐ
anticonceitualismo ˌɐ̃tikõsɐjtwɐliʒmu
anticriatividade ˌɐ̃tikɾiɐtividadɨ
anticrioulo ˌɐ̃tikɾio(w)lu
antidotário ɐ̃tidutaɾju
antidicionário ˌɐ̃tidisjunaɾju
antidrama ˌɐ̃tidɾɐmɐ
antidiscinético ˌɐ̃tidiʃsinɛtiku
antidocumentário ˌɐ̃tidukumẽtaɾju
antidopaminérgico ˌɐ̃tidɔpɐminɛɾʒiku
antiespiritismo ɐ̃tjɛʃpiɾitiʒmu
antiembaçante ˌɐ̃tiẽbɐsɐ̃tɨ
antiempirismo ˌɐ̃tiẽpiɾiʒmu
antiendotoxina ˌɐ̃tiˌẽdɔtɔksinɐ
anticompetitividade ˌɐ̃tikõpɨtitividadɨ
antidescritivismo ˌɐ̃tidɨʃkɾitiviʒmu
antidiurese ˌɐ̃tidiuɾɛzɨ
antiespiritualismo ɐ̃tjɛʃpiɾitwɐliʒmu
antiepilético ˌɐ̃tiepilɛtiku
antifase ˌɐ̃tifazɨ
antifã ˌɐ̃tifɐ̃
antidispéptico ˌɐ̃tidiʃpɛptiku
antidisrítmico ˌɐ̃tidiʒʁitmiku
antiescravista ɐ̃tjɛʃkɾɐviʃtɐ
antifluxo ˌɐ̃tifluksu
antifebrina ˌɐ̃tifɨbɾinɐ
antiforma ˌɐ̃tifɔɾmɐ
antifilosofia ˌɐ̃tifiluzufiɐ
antifilósofo ˌɐ̃tifilɔzufu
anticético ˌɐ̃tisɛtiku
antiestrela ɐ̃tjɛʃtɾelɐ
antifólico ˌɐ̃tifɔliku
antifederalismo ˌɐ̃tifɨdɨɾɐliʒmu
antifragilidade ˌɐ̃tifɾɐʒilidadɨ
antifolato ˌɐ̃tifulatu
antifeudalismo ˌɐ̃tifewdɐliʒmu
antiextremismo ɐ̃tjɛʃtɾɨmiʒmu
antiempirista ˌɐ̃tiẽpiɾiʃtɐ
antidiabético ˌɐ̃tidiɐbɛtiku
antifibrinolítico ˌɐ̃tifibɾinulitiku
anticonvulsivo ˌɐ̃tikõvulsivu
antiflatulento ˌɐ̃tiflɐtulẽtu
antiextremista ɐ̃tjɛʃtɾɨmiʃtɐ
antifundamentalista ˌɐ̃tifũdɐmẽtɐliʃtɐ
antifundamentalismo ˌɐ̃tifũdɐmẽtɐliʒmu
antifilme ˌɐ̃tifilmɨ
anticomercialismo ˌɐ̃tikumɨɾsjɐliʒmu
antiexperimentalismo ɐ̃tjɛʃpɨɾimẽtɐliʒmu
anticonstitucionalista ˌɐ̃tikõʃtitusjunɐliʃtɐ
antifundacionalismo ˌɐ̃tifũdɐsjunɐliʒmu
antidemocracia ˌɐ̃tidɨmukɾɐsiɐ
antiformalismo ˌɐ̃tifuɾmɐliʒmu
antifibrótico ˌɐ̃tifibɾɔtiku
antiferromagneto ˌɐ̃tiˌfɛʁɔmaɡnɛtu
antigenoma ˌɐ̃tiʒɨnomɐ
antilegomena ɐ̃tilɨɡumenɐ
antigenicidade ɐ̃tiʒɨnisidadɨ
antiliteratura ˌɐ̃tilitɨɾɐtuɾɐ
antiglobulina ˌɐ̃tiɡlubulinɐ
antimito ˌɐ̃timitu
antilocaprídeo ɐ̃tilɔkɐpɾidju
antiespasmódico ɐ̃tjɛʃpɐʒmɔdiku
antiguerreiro ˌɐ̃tiɡɨʁɐjɾu
antiglobalização ˌɐ̃tiɡlubɐlizɐsɐ̃w̃
antimaçonaria ˌɐ̃timɐsunɐɾiɐ
antigaláxia ˌɐ̃tiɡɐlaksjɐ
antinucleão ɐ̃tinukliɐ̃w̃
antilhano ɐ̃tiʎɐnu
antimãe ˌɐ̃timɐ̃j̃
antileprótico ˌɐ̃tilɨpɾɔtiku
antimetábole ɐ̃timɨtabulɨ
antimodelo ˌɐ̃timudelu
antimecanismo ˌɐ̃timɨkɐniʒmu
antimundo ˌɐ̃timũdu
antigonadotrofina ˌɐ̃tiˌɡɔnɐdɔtɾufinɐ
antigrevista ˌɐ̃tiɡɾɛviʃtɐ
antielitismo ˌɐ̃tiɛlitiʒmu
antimoda ˌɐ̃timɔdɐ
antimetabólito ˌɐ̃timɨtɐbɔlitu
antiliberalismo ˌɐ̃tilibɨɾɐliʒmu
antimonopolismo ˌɐ̃timunupuliʒmu
antimoralismo ˌɐ̃timuɾɐliʒmu
antimodernidade ˌɐ̃timudɨɾnidadɨ
antimitótico ˌɐ̃timitɔtiku
antineutrão ɐ̃tinewtɾɐ̃w̃
antifundacionalista ˌɐ̃tifũdɐsjunɐliʃtɐ
antiniilismo ˌɐ̃tiniiliʒmu
antinegrismo ˌɐ̃tinɨɡɾiʒmu
antijacobino ˌɐ̃tiʒɐkubinu
antinaturalismo ˌɐ̃tinɐtuɾɐliʒmu
antimaterialismo ˌɐ̃timɐtɨɾjɐliʒmu
antimonarquista ˌɐ̃timunɐɾkiʃtɐ
antinatalista ˌɐ̃tinɐtɐliʃtɐ
antipadrão ˌɐ̃tipɐdɾɐ̃w̃
antinominalista ˌɐ̃tinuminɐliʃtɐ
antimutágeno ˌɐ̃timutaʒɨnu
antimaterialista ˌɐ̃timɐtɨɾjɐliʃtɐ
antiformalista ˌɐ̃tifuɾmɐliʃtɐ
antigripal ˌɐ̃tiɡɾipal
antimicrobiano ˌɐ̃timikɾɔbjɐnu
sertanejo sɨɾtɐnɐ(j)ʒu
antipedagogia ˌɐ̃tipɨdɐɡuʒiɐ
antiozonante ˌɐ̃tiɔzɔnɐ̃tɨ
antinominalismo ˌɐ̃tinuminɐliʒmu
antipeça ˌɐ̃tipɛsɐ
antipirina ˌɐ̃tipiɾinɐ
antielitista ˌɐ̃tiɛlitiʃtɐ
antimuscarínico ˌɐ̃timuʃkɐɾiniku
antinormatividade ˌɐ̃tinɔɾmɐtividadɨ
antinutriente ˌɐ̃tinutɾiẽtɨ
antinevrálgico ˌɐ̃tinɨvɾalʒiku
antipirese ˌɐ̃tipiɾɛzɨ
antilíngua ˌɐ̃tilĩɡwɐ
antinomista ɐ̃tinumiʃtɐ
antiperistalse ˌɐ̃tipɨɾiʃtalsɨ
antinomiano ɐ̃tinumjɐnu
antiplaneta ˌɐ̃tiplɐnɛtɐ
antinaturalista ˌɐ̃tinɐtuɾɐliʃtɐ
antimodernista ˌɐ̃timudɨɾniʃtɐ
antinarrativa ˌɐ̃tinɐʁɐtivɐ
antiperístase ˌɐ̃tipɨɾiʃtɐzɨ
antigravidade ˌɐ̃tiɡɾɐvidadɨ
antipoeta ˌɐ̃tipwɛtɐ
antinúcleo ˌɐ̃tinukliu
antiponto ˌɐ̃tipõtu
antipatriotismo ˌɐ̃tipɐtɾiutiʒmu
antipartido ˌɐ̃tipɐɾtidu
antinomianismo ɐ̃tinumjɐniʒmu
antipartidos ˌɐ̃tipɐɾtiduʃ
antinacionalista ˌɐ̃tinɐsjunɐliʃtɐ
antimaçónico ˌɐ̃timasɔniku
antiperiódico ˌɐ̃tipɨɾjɔdiku
antipoesia ˌɐ̃tipwɨziɐ
antiobjetivo ˌɐ̃tiɔbʒɛtivu
antiparasitário ˌɐ̃tipɐɾɐzitaɾju
antiplástico ˌɐ̃tiplaʃtiku
antiprograma ˌɐ̃tipɾuɡɾɐmɐ
antipopulista ˌɐ̃tipupuliʃtɐ
antipositivismo ˌɐ̃tipuzitiviʒmu
antinocicepção ˌɐ̃tiˌnɔsisɛpsɐ̃w̃
antipêndio ˌɐ̃tipẽdju
antiniilista ˌɐ̃tiniiliʃtɐ
antiprogestina ˌɐ̃tipɾuʒɨʃtinɐ
antiportador ˌɐ̃tipuɾtɐdoɾ
antimúsica ˌɐ̃timuzikɐ
antipolítico ˌɐ̃tipulitiku
antipersistência ˌɐ̃tipɨɾsiʃtẽsjɐ
antiproliferação ˌɐ̃tipɾulifɨɾɐsɐ̃w̃
antipatriota ˌɐ̃tipɐtɾiɔtɐ
antiparkinsoniano ˌɐ̃tipɐɾkĩsunjɐnu
